¹¤ÐòÃû,×Ê²ú±àÂë,Éè±¸ID,²Ù×÷Õß,°à´Î,µçÐ¾ÐÍºÅ´úÂë,Éú²úÅú´Î,Ê±¼ä,µçÐ¾ÌõÂë,µçÐ¾Î»ÖÃ,Ô¤º¸¹¦ÂÊ,Ô¤º¸ËÙ¶È,º¸ÏßÊýÁ¿,º¸Ïß³¤¶È,Àë½¹Á¿,º¸ºó½á¹û,Ñ¹Á¦Öµ,Ô¤º¸Ì¨½×Öµ1,Ô¤º¸Ì¨½×Öµ2,Ô¤º¸Ì¨½×Öµ3,Ô¤º¸Ì¨½×Öµ4,Ô¤º¸Ì¨½×Öµ5,Ô¤º¸Ì¨½×Öµ6,Ô¤º¸Ì¨½×Öµ7,Ô¤º¸Ì¨½×Öµ8,·´À¡´úÂë,·´À¡ÐÅÏ¢
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:00:27,001CB1U0000001ABB6512736,A,634.754,600.000,8.000,4.500,0.000,2.000,66.600,-0.043,-0.120,0.028,0.045,0.032,0.018,-0.098,-0.055,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:00:36,001CB1U0000001ABB6512734,B,617.021,600.000,8.000,4.500,0.000,2.000,47.680,-0.094,-0.116,0.081,0.057,0.065,0.038,-0.116,-0.083,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:00:40,001CB1U0000001ABB6512744,A,634.968,600.000,8.000,4.500,0.000,2.000,70.590,-0.025,-0.085,-0.001,0.061,0.006,-0.004,0.050,-0.024,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:00:49,001CB1U0000001ABB6512738,B,616.167,600.000,8.000,4.500,0.000,2.000,46.720,-0.086,-0.078,-0.005,0.033,-0.019,0.011,-0.078,0.019,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:00:52,001CB1U0000001ABB6512748,A,633.900,600.000,8.000,4.500,0.000,2.000,69.510,-0.022,-0.086,-0.007,0.080,0.006,0.052,0.053,0.166,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:01:01,001CB1U0000001ABB6512742,B,616.380,600.000,8.000,4.500,0.000,2.000,47.040,-0.081,-0.044,0.045,0.075,0.054,0.025,-0.119,-0.066,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:01:06,001CB1U0000001ABB6512752,A,634.327,600.000,8.000,4.500,0.000,2.000,67.980,-0.044,-0.200,0.032,-0.022,0.058,-0.029,0.083,0.049,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:01:15,001CB1U0000001ABB6512746,B,617.448,600.000,8.000,4.500,0.000,2.000,47.680,-0.058,-0.041,-0.017,0.083,-0.031,0.032,-0.012,0.050,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:01:20,001CB1U0000001ABB6512756,A,634.327,600.000,8.000,4.500,0.000,2.000,70.020,-0.031,-0.152,0.042,0.020,0.058,0.000,0.067,0.038,0,OK
Ñ¹×°Ô¤º¸,11111,YZYH,2TSP,Ò¹°à,11111,11111,0:01:30,001CB1U0000001ABB6512750,B,617.021,600.000,8.000,4.500,0.000,2.000,47.040,-0.036,-0.124,-0.028,0.025,-0.048,-0.011,0.018,0.049,0,OK
