时间,条码,扫码结果,位置
0:00:02,001CB1U0000001ABB6512752,OK,1
0:00:09,001CB1U0000001ABB6512754,OK,2
0:00:17,001CB1U0000001ABB6512756,OK,1
0:00:49,001CB1U0000001ABB6512760,OK,1
0:00:52,001CB1U0000001ABB6512762,OK,2
0:01:00,001CB1U0000001ABB6512764,OK,1
0:01:04,001CB1U0000001ABB6512766,OK,2
0:01:12,001CB1U0000001ABB6512768,OK,1
0:01:16,001CB1U0000001ABB6512770,OK,2
0:01:24,001CB1U0000001ABB6512772,OK,1
0:01:30,001CB1U0000001ABB6512774,OK,2
0:01:38,001CB1U0000001ABB6512776,OK,1
0:01:44,001CB1U0000001ABB6512778,OK,2
0:01:59,001CB1U0000001ABB6512782,OK,2
0:02:07,001CB1U0000001ABB6512784,OK,1
0:02:11,001CB1U0000001ABB6512786,OK,2
0:02:27,001CB1U0000001ABB6512790,OK,2
0:02:35,001CB1U0000001ABB6512792,OK,1
0:02:39,001CB1U0000001ABB6512794,OK,2
0:03:06,001CB1U0000001ABC6500000,OK,2
0:03:14,001CB1U0000001ABC6500002,OK,1
0:03:29,001CB1U0000001ABC6500004,OK,2
0:03:38,001CB1U0000001ABC6500006,OK,1
0:04:08,001CB1U0000001ABC6500008,OK,2
0:04:17,001CB1U0000001ABB6512414,OK,1
0:04:31,001CB1U0000001ABB6512398,OK,2
0:04:40,001CB1U0000001ABC6500010,OK,1
0:05:10,001CB1U0000001ABB6512412,OK,2
0:05:18,001CB1U0000001ABC6500012,OK,1
0:05:34,001CB1U0000001ABB6512428,OK,2
0:05:42,001CB1U0000001ABC6500014,OK,1
0:06:13,001CB1U0000001ABB6512426,OK,2
0:06:20,001CB1U0000001AB96502648,OK,1
0:06:36,001CB1U0000001AB96502636,OK,2
0:06:43,001CB1U0000001AB96503252,OK,1
0:07:09,001CB1U0000001ABC6500016,OK,1
0:07:15,001CB1U0000001ABC6500018,OK,2
0:07:23,001CB1U0000001ABC6500020,OK,1
0:07:37,001CB1U0000001ABC6500022,OK,2
0:07:45,001CB1U0000001ABC6500024,OK,1
0:08:03,001CB1U0000001ABC6500026,OK,2
0:08:11,001CB1U0000001ABC6500030,OK,1
0:08:18,001CB1U0000001ABC6500032,OK,2
0:08:26,001CB1U0000001ABC6500034,OK,1
0:08:43,001CB1U0000001ABC6500036,OK,2
0:08:51,001CB1U0000001ABC6500038,OK,1
0:09:06,001CB1U0000001ABC6500040,OK,2
0:09:23,001CB1U0000001ABC6500044,OK,2
0:09:31,001CB1U0000001ABC6500046,OK,1
0:09:45,001CB1U0000001ABC6500048,OK,2
0:09:57,001CB1U0000001ABC6500050,OK,1
0:10:08,001CB1U0000001ABC6500058,OK,1
0:10:25,001CB1U0000001ABC6500062,OK,2
0:10:33,001CB1U0000001ABC6500064,OK,1
0:10:51,001CB1U0000001ABC6500070,OK,2
0:11:08,001CB1U0000001ABB6512554,OK,2
0:11:15,001CB1U0000001ABC6500084,OK,1
0:11:30,001CB1U0000001ABC6500088,OK,2
0:11:39,001CB1U0000001ABC6500090,OK,1
0:12:09,001CB1U0000001ABC6500060,OK,2
0:12:17,001CB1U0000001ABC6500054,OK,1
0:12:32,001CB1U0000001ABC6500092,OK,2
0:12:40,001CB1U0000001ABB6512474,OK,1
0:13:11,001CB1U0000001ABC6500094,OK,2
0:13:20,001CB1U0000001ABC6500096,OK,1
0:13:34,001CB1U0000001ABC6500098,OK,2
0:13:42,001CB1U0000001ABC6500100,OK,1
0:14:13,001CB1U0000001ABB6512468,OK,2
0:14:21,001CB1U0000001AB96503142,OK,1
0:14:36,001CB1U0000001AB96502724,OK,2
0:14:44,001CB1U0000001ABC6500104,OK,1
0:15:15,001CB1U0000001ABC6500076,OK,2
0:15:23,001CB1U0000001ABB6512470,OK,1
0:15:37,001CB1U0000001ABC6500108,OK,2
0:15:45,001CB1U0000001ABC6500110,OK,1
0:16:17,001CB1U0000001ABC6500074,OK,2
0:16:25,001CB1U0000001AB96503356,OK,1
0:16:39,001CB1U0000001AB96503270,OK,2
0:16:46,001CB1U0000001AB96503128,OK,1
0:17:22,001CB1U0000001AB96503130,OK,1
0:17:25,001CB1U0000001AB96502712,OK,2
0:17:33,001CB1U0000001AB96503126,OK,1
0:17:40,001CB1U0000001AB96502702,OK,2
0:17:48,001CB1U0000001AB96503422,OK,1
0:18:10,001CB1U0000001AB96503118,OK,1
0:18:19,001CB1U0000001AB96503152,OK,2
0:20:15,001CB1U0000001ABB6515911,OK,1
0:20:18,001CB1U0000001ABB6515927,OK,2
0:20:26,001CB1U0000001AB96504288,OK,1
0:20:29,001CB1U0000001ABB6512050,OK,2
0:20:37,001CB1U0000001AB96503028,OK,1
0:20:40,001CB1U0000001AB96503048,OK,2
0:20:48,001CB1U0000001AB96503044,OK,1
0:20:52,001CB1U0000001AB96503038,OK,2
0:21:00,001CB1U0000001AB96503046,OK,1
0:21:20,001CB1U0000001AB96503036,OK,2
0:21:28,001CB1U0000001AB96503074,OK,1
0:21:35,001CB1U0000001AB96503084,OK,2
0:21:42,001CB1U0000001AB96503032,OK,1
0:21:47,001CB1U0000001AB96503034,OK,2
0:21:55,001CB1U0000001AB96503060,OK,1
0:22:03,001CB1U0000001AB96503062,OK,2
0:22:11,001CB1U0000001AB96503040,OK,1
0:22:15,001CB1U0000001AB96503042,OK,2
0:22:22,001CB1U0000001AB96503056,OK,1
0:22:32,001CB1U0000001AB96503058,OK,2
0:24:41,001CB1U0000001ABB6512550,OK,1
0:24:44,001CB1U0000001AB96503704,OK,2
0:24:52,001CB1U0000001AB96502994,OK,1
0:24:55,001CB1U0000001AB96502990,OK,2
0:25:03,001CB1U0000001AB96503004,OK,1
0:25:06,001CB1U0000001AB96502996,OK,2
0:25:15,001CB1U0000001AB96503070,OK,1
0:25:18,001CB1U0000001AB96503082,OK,2
0:25:26,001CB1U0000001AB96502976,OK,1
0:25:41,001CB1U0000001AB96503002,OK,2
0:25:49,001CB1U0000001AB96503050,OK,1
0:25:53,001CB1U0000001AB96503052,OK,2
0:26:01,001CB1U0000001AB96502986,OK,1
0:26:05,001CB1U0000001AB96503012,OK,2
0:26:13,001CB1U0000001AB96503068,OK,1
0:26:18,001CB1U0000001AB96503078,OK,2
0:26:25,001CB1U0000001AB96502984,OK,1
0:26:34,001CB1U0000001AB96503010,OK,2
0:26:41,001CB1U0000001AB96503026,OK,1
0:26:50,001CB1U0000001AB96503066,OK,2
0:26:58,001CB1U0000001ABC6500112,OK,1
0:27:04,001CB1U0000001ABB6512354,OK,2
0:27:13,001CB1U0000001ABB6512410,OK,1
0:27:18,001CB1U0000001ABC6500068,OK,2
0:27:34,001CB1U0000001ABB6512406,OK,2
0:27:42,001CB1U0000001ABC6500082,OK,1
0:27:45,001CB1U0000001ABB6512424,OK,2
0:27:53,001CB1U0000001ABC6500102,OK,1
0:28:03,001CB1U0000001ABC6500114,OK,2
0:28:11,001CB1U0000001ABC6500116,OK,1
0:28:16,001CB1U0000001ABB6512422,OK,2
0:28:24,001CB1U0000001ABB6512420,OK,1
0:28:46,001CB1U0000001ABB6511916,OK,2
0:28:54,001CB1U0000001ABC6500118,OK,1
0:29:00,001CB1U0000001ABC6500124,OK,2
0:29:08,001CB1U0000001ABC6500126,OK,1
0:29:13,001CB1U0000001ABC6500128,OK,2
0:29:21,001CB1U0000001ABC6500132,OK,1
0:29:25,001CB1U0000001ABB6512430,OK,2
0:29:33,001CB1U0000001ABC6500106,OK,1
0:29:57,001CB1U0000001ABC6500270,OK,2
0:30:06,001CB1U0000001ABC6500272,OK,1
0:30:09,001CB1U0000001ABC6500274,OK,2
0:30:18,001CB1U0000001ABC6500276,OK,1
0:30:22,001CB1U0000001ABC6500278,OK,2
0:30:30,001CB1U0000001ABC6500280,OK,1
0:30:34,001CB1U0000001ABC6500282,OK,2
0:30:43,001CB1U0000001ABC6500284,OK,1
0:31:13,001CB1U0000001ABC6500286,OK,2
0:31:26,001CB1U0000001ABC6500288,OK,1
0:31:34,001CB1U0000001ABC6500144,OK,2
0:31:37,001CB1U0000001ABC6500146,OK,1
0:31:45,001CB1U0000001ABC6500158,OK,2
0:31:49,001CB1U0000001ABB6512440,OK,1
0:32:01,001CB1U0000001ABC6500154,OK,1
0:32:12,001CB1U0000001ABC6500156,OK,1
0:32:21,001CB1U0000001ABC6500080,OK,2
0:32:29,001CB1U0000001ABC6500160,OK,1
0:32:33,001CB1U0000001ABC6500052,OK,2
0:32:41,001CB1U0000001ABC6500162,OK,1
0:32:47,001CB1U0000001ABC6500292,OK,2
0:32:55,001CB1U0000001ABC6500294,OK,1
0:33:27,001CB1U0000001ABC6500296,OK,2
0:33:35,001CB1U0000001ABC6500298,OK,1
0:33:38,001CB1U0000001ABC6500300,OK,2
0:33:46,001CB1U0000001ABC6500302,OK,1
0:33:52,001CB1U0000001ABC6500304,OK,2
0:34:00,001CB1U0000001ABC6500306,OK,1
0:34:05,001CB1U0000001ABC6500308,OK,2
0:34:13,001CB1U0000001ABC6500310,OK,1
0:34:18,001CB1U0000001ABC6500312,OK,2
0:34:26,001CB1U0000001ABC6500314,OK,1
0:34:33,001CB1U0000001ABC6500320,OK,2
0:34:41,001CB1U0000001ABC6500322,OK,1
0:34:46,001CB1U0000001ABC6500324,OK,2
0:34:54,001CB1U0000001ABC6500326,OK,1
0:34:59,001CB1U0000001ABC6500328,OK,2
0:35:07,001CB1U0000001ABC6500330,OK,1
0:35:13,001CB1U0000001ABC6500134,OK,2
0:35:21,001CB1U0000001ABC6500332,OK,1
0:35:27,001CB1U0000001ABC6500334,OK,2
0:35:35,001CB1U0000001ABC6500336,OK,1
0:35:40,001CB1U0000001ABC6500340,OK,2
0:35:48,001CB1U0000001ABC6500152,OK,1
0:35:54,001CB1U0000001ABC6500174,OK,2
0:36:02,001CB1U0000001ABC6500342,OK,1
0:36:08,001CB1U0000001ABC6500344,OK,2
0:36:17,001CB1U0000001ABC6500346,OK,1
0:36:21,001CB1U0000001ABC6500352,OK,2
0:36:33,001CB1U0000001ABC6500354,OK,1
0:36:41,001CB1U0000001ABC6500360,OK,2
0:36:45,001CB1U0000001ABC6500358,OK,1
0:36:52,001CB1U0000001ABC6500364,OK,2
0:36:56,001CB1U0000001ABC6500362,OK,1
0:37:04,001CB1U0000001ABC6500368,OK,2
0:37:07,001CB1U0000001ABC6500366,OK,1
0:37:18,001CB1U0000001ABC6500372,OK,2
0:37:21,001CB1U0000001ABC6500370,OK,1
0:37:32,001CB1U0000001ABC6500376,OK,2
0:37:36,001CB1U0000001ABC6500374,OK,1
0:37:44,001CB1U0000001ABC6500378,OK,2
0:37:48,001CB1U0000001ABC6500316,OK,1
0:37:59,001CB1U0000001ABC6500384,OK,2
0:38:02,001CB1U0000001ABC6500380,OK,1
0:38:13,001CB1U0000001ABC6500318,OK,2
0:38:17,001CB1U0000001ABC6500338,OK,1
0:38:26,001CB1U0000001ABC6500386,OK,2
0:38:30,001CB1U0000001ABC6500382,OK,1
0:38:40,001CB1U0000001ABC6500390,OK,2
0:38:44,001CB1U0000001ABC6500388,OK,1
0:38:55,001CB1U0000001ABC6500394,OK,2
0:38:59,001CB1U0000001ABC6500392,OK,1
0:39:07,001CB1U0000001ABC6500398,OK,2
0:39:11,001CB1U0000001ABC6500396,OK,1
0:39:22,001CB1U0000001ABC6500400,OK,2
0:39:25,001CB1U0000001ABC6500350,OK,1
0:39:36,001CB1U0000001ABC6500404,OK,2
0:39:40,001CB1U0000001ABC6500402,OK,1
0:39:49,001CB1U0000001ABC6500408,OK,2
0:39:52,001CB1U0000001ABC6500406,OK,1
0:40:03,001CB1U0000001ABC6500412,OK,2
0:40:07,001CB1U0000001ABC6500410,OK,1
0:40:17,001CB1U0000001ABC6500416,OK,2
0:40:21,001CB1U0000001ABC6500414,OK,1
0:40:30,001CB1U0000001ABC6500420,OK,2
0:40:34,001CB1U0000001ABC6500418,OK,1
0:40:46,001CB1U0000001ABC6500422,OK,1
0:40:49,001CB1U0000001ABC6500424,OK,2
0:40:58,001CB1U0000001ABC6500426,OK,1
0:41:01,001CB1U0000001ABC6500428,OK,2
0:41:09,001CB1U0000001ABC6500430,OK,1
0:41:13,001CB1U0000001ABC6500432,OK,2
0:41:21,001CB1U0000001ABC6500434,OK,1
0:41:25,001CB1U0000001ABC6500436,OK,2
0:41:34,001CB1U0000001ABC6500438,OK,1
0:41:38,001CB1U0000001ABC6500440,OK,2
0:41:46,001CB1U0000001ABB6512450,OK,1
0:41:51,001CB1U0000001ABC6500442,OK,2
0:42:04,001CB1U0000001ABC6500444,OK,1
0:42:11,001CB1U0000001ABC6500448,OK,2
0:42:15,001CB1U0000001ABC6500446,OK,1
0:42:23,001CB1U0000001ABC6500450,OK,2
0:42:26,001CB1U0000001ABB6511926,OK,1
0:42:34,001CB1U0000001ABB6510953,OK,2
0:42:37,001CB1U0000001ABB6510985,OK,1
0:42:46,001CB1U0000001ABB6510965,OK,2
0:42:49,001CB1U0000001ABB6510949,OK,1
0:42:58,001CB1U0000001ABC6500452,OK,2
0:43:02,001CB1U0000001ABC6500028,OK,1
0:43:11,001CB1U0000001ABC6500172,OK,2
0:43:15,001CB1U0000001ABB6512438,OK,1
0:43:27,001CB1U0000001ABC6500454,OK,1
0:43:31,001CB1U0000001ABB6512448,OK,2
0:43:42,001CB1U0000001ABC6500456,OK,2
0:43:46,001CB1U0000001ABB6512436,OK,1
0:43:53,001CB1U0000001ABC6500460,OK,2
0:43:57,001CB1U0000001ABC6500458,OK,1
0:44:06,001CB1U0000001ABC6500462,OK,2
0:44:09,001CB1U0000001ABC6500348,OK,1
0:44:17,001CB1U0000001ABC6500466,OK,2
0:44:21,001CB1U0000001ABC6500464,OK,1
0:44:29,001CB1U0000001ABB6512678,OK,2
0:44:32,001CB1U0000001AB96503686,OK,1
0:44:41,001CB1U0000001ABB6510961,OK,2
0:44:45,001CB1U0000001ABB6510951,OK,1
0:44:54,001CB1U0000001ABB6516489,OK,2
0:44:57,001CB1U0000001ABB6515977,OK,1
0:45:06,001CB1U0000001ABB6510959,OK,2
0:45:10,001CB1U0000001ABB6510955,OK,1
0:45:19,001CB1U0000001ABB6512662,OK,2
0:45:22,001CB1U0000001ABB6512486,OK,1
0:45:32,001CB1U0000001ABB6510957,OK,2
0:45:35,001CB1U0000001ABB6510983,OK,1
0:45:45,001CB1U0000001ABB6512606,OK,2
0:45:48,001CB1U0000001ABB6512594,OK,1
0:45:59,001CB1U0000001AB96503128,OK,2
0:46:02,001CB1U0000001ABB6516513,OK,1
0:46:24,001CB1U0000001ABC6500468,OK,1
0:46:27,001CB1U0000001ABC6500470,OK,2
0:46:35,001CB1U0000001ABC6500472,OK,1
0:46:38,001CB1U0000001ABC6500474,OK,2
0:46:46,001CB1U0000001ABC6500476,OK,1
0:46:49,001CB1U0000001ABC6500488,OK,2
0:46:58,001CB1U0000001ABC6500490,OK,1
0:47:01,001CB1U0000001ABC6500492,OK,2
0:47:09,001CB1U0000001ABC6500498,OK,1
0:47:13,001CB1U0000001ABC6500500,OK,2
0:50:21,001CB1U0000001ABC6500150,OK,1
0:50:25,001CB1U0000001ABC6500554,OK,2
0:50:33,001CB1U0000001ABC6500148,OK,1
0:50:36,001CB1U0000001ABC6500184,OK,2
0:50:44,001CB1U0000001ABC6500556,OK,1
0:50:48,001CB1U0000001ABC6500170,OK,2
0:50:56,001CB1U0000001ABC6500546,OK,1
0:50:59,001CB1U0000001ABC6500542,OK,2
0:51:07,001CB1U0000001ABC6500486,OK,1
0:51:11,001CB1U0000001ABC6500502,OK,2
0:51:19,001CB1U0000001ABC6500168,OK,1
0:51:24,001CB1U0000001ABC6500166,OK,2
0:51:32,001CB1U0000001ABC6500164,OK,1
0:51:36,001CB1U0000001ABC6500558,OK,2
0:51:44,001CB1U0000001ABC6500560,OK,1
0:51:48,001CB1U0000001ABC6500562,OK,2
0:51:57,001CB1U0000001ABC6500564,OK,1
0:52:01,001CB1U0000001ABC6500566,OK,2
0:52:09,001CB1U0000001ABC6500568,OK,1
0:52:13,001CB1U0000001ABC6500570,OK,2
0:52:21,001CB1U0000001ABC6500572,OK,1
0:52:26,001CB1U0000001ABC6500574,OK,2
0:52:34,001CB1U0000001ABC6500576,OK,1
0:52:39,001CB1U0000001ABC6500578,OK,2
0:52:47,001CB1U0000001ABC6500580,OK,1
0:52:51,001CB1U0000001ABC6500582,OK,2
0:52:59,001CB1U0000001ABC6500584,OK,1
0:53:04,001CB1U0000001ABC6500586,OK,2
0:53:12,001CB1U0000001ABC6500588,OK,1
0:53:16,001CB1U0000001ABC6500590,OK,2
0:53:25,001CB1U0000001ABC6500592,OK,1
0:53:29,001CB1U0000001ABC6500594,OK,2
0:53:37,001CB1U0000001ABC6500596,OK,1
0:53:41,001CB1U0000001ABC6500598,OK,2
0:53:50,001CB1U0000001ABC6500600,OK,1
0:53:54,001CB1U0000001ABC6500602,OK,2
0:54:02,001CB1U0000001ABC6500604,OK,1
0:54:07,001CB1U0000001ABC6500606,OK,2
0:54:15,001CB1U0000001ABC6500608,OK,1
0:54:19,001CB1U0000001ABC6500610,OK,2
0:54:27,001CB1U0000001ABC6500612,OK,1
0:54:32,001CB1U0000001ABC6500614,OK,2
0:54:40,001CB1U0000001ABC6500616,OK,1
0:54:44,001CB1U0000001ABC6500618,OK,2
0:54:53,001CB1U0000001ABC6500620,OK,1
0:54:57,001CB1U0000001ABC6500622,OK,2
0:55:05,001CB1U0000001ABC6500624,OK,1
0:55:09,001CB1U0000001ABC6500626,OK,2
0:55:18,001CB1U0000001ABC6500628,OK,1
0:55:22,001CB1U0000001ABC6500630,OK,2
0:55:30,001CB1U0000001ABC6500632,OK,1
0:55:34,001CB1U0000001ABC6500634,OK,2
0:55:42,001CB1U0000001ABB6510611,OK,1
0:55:47,001CB1U0000001ABB6510615,OK,2
0:56:00,001CB1U0000001ABC6500636,OK,1
0:56:07,001CB1U0000001ABC6500642,OK,2
0:56:11,001CB1U0000001ABC6500640,OK,1
0:56:18,001CB1U0000001ABC6500646,OK,2
0:56:22,001CB1U0000001ABC6500644,OK,1
0:56:30,001CB1U0000001ABC6500650,OK,2
0:56:34,001CB1U0000001ABC6500648,OK,1
0:56:42,001CB1U0000001ABC6500654,OK,2
0:56:46,001CB1U0000001ABC6500652,OK,1
0:56:55,001CB1U0000001ABC6500658,OK,2
0:56:58,001CB1U0000001ABC6500656,OK,1
0:57:07,001CB1U0000001ABC6500662,OK,2
0:57:11,001CB1U0000001ABC6500660,OK,1
0:57:19,001CB1U0000001ABC6500666,OK,2
0:57:23,001CB1U0000001ABC6500664,OK,1
0:57:38,001CB1U0000001ABC6500668,OK,1
0:57:45,001CB1U0000001ABC6500674,OK,2
0:57:49,001CB1U0000001ABC6500672,OK,1
0:57:56,001CB1U0000001ABC6500678,OK,2
0:58:00,001CB1U0000001ABC6500676,OK,1
0:58:08,001CB1U0000001ABB6510855,OK,2
0:58:12,001CB1U0000001ABB6510859,OK,1
0:58:20,001CB1U0000001ABC6500682,OK,2
0:58:24,001CB1U0000001ABC6500680,OK,1
0:58:32,001CB1U0000001ABC6500411,OK,2
0:58:45,001CB1U0000001AB96503006,OK,1
0:58:52,001CB1U0000001ABC6500686,OK,2
0:59:00,001CB1U0000001ABC6500684,OK,1
0:59:07,001CB1U0000001ABC6500690,OK,2
0:59:12,001CB1U0000001ABC6500688,OK,1
0:59:24,001CB1U0000001ABC6500694,OK,2
0:59:32,001CB1U0000001ABC6500696,OK,1
0:59:35,001CB1U0000001ABC6500524,OK,2
0:59:44,001CB1U0000001ABC6500698,OK,1
0:59:47,001CB1U0000001ABC6500700,OK,2
0:59:55,001CB1U0000001ABC6500702,OK,1
0:59:58,001CB1U0000001ABC6500704,OK,2
1:00:08,001CB1U0000001ABC6500706,OK,1
1:00:11,001CB1U0000001ABC6500708,OK,2
1:00:23,001CB1U0000001ABC6500712,OK,2
1:00:27,001CB1U0000001ABC6500710,OK,1
1:00:35,001CB1U0000001ABB6512460,OK,2
1:00:39,001CB1U0000001ABC6500714,OK,1
1:00:48,001CB1U0000001ABC6500718,OK,2
1:00:51,001CB1U0000001ABC6500716,OK,1
1:01:00,001CB1U0000001ABC6500722,OK,2
1:01:04,001CB1U0000001ABC6500720,OK,1
1:01:16,001CB1U0000001ABC6500726,OK,2
1:01:24,001CB1U0000001ABC6500728,OK,1
1:01:27,001CB1U0000001ABC6500730,OK,2
1:01:35,001CB1U0000001ABC6500732,OK,1
1:01:38,001CB1U0000001ABC6500734,OK,2
1:01:47,001CB1U0000001ABC6500736,OK,1
1:01:50,001CB1U0000001ABC6500738,OK,2
1:01:58,001CB1U0000001ABC6500740,OK,1
1:02:02,001CB1U0000001ABC6500742,OK,2
1:02:10,001CB1U0000001ABC6500744,OK,1
1:02:15,001CB1U0000001ABC6500746,OK,2
1:02:23,001CB1U0000001ABC6500748,OK,1
1:02:28,001CB1U0000001ABC6500750,OK,2
1:02:35,001CB1U0000001ABC6500752,OK,1
1:02:40,001CB1U0000001ABC6500754,OK,2
1:02:48,001CB1U0000001ABC6500548,OK,1
1:02:53,001CB1U0000001ABC6500756,OK,2
1:03:01,001CB1U0000001ABC6500482,OK,1
1:03:05,001CB1U0000001ABC6500758,OK,2
1:03:13,001CB1U0000001ABC6500760,OK,1
1:03:17,001CB1U0000001ABC6500762,OK,2
1:03:25,001CB1U0000001ABC6500764,OK,1
1:03:29,001CB1U0000001ABC6500766,OK,2
1:03:37,001CB1U0000001ABC6500768,OK,1
1:03:42,001CB1U0000001ABC6500770,OK,2
1:03:50,001CB1U0000001ABC6500772,OK,1
1:03:54,001CB1U0000001ABC6500774,OK,2
1:04:02,001CB1U0000001ABB6510589,OK,1
1:04:07,001CB1U0000001ABB6510573,OK,2
1:04:19,001CB1U0000001ABC6500776,OK,1
1:04:27,001CB1U0000001ABC6500780,OK,2
1:04:30,001CB1U0000001ABC6500778,OK,1
1:04:38,001CB1U0000001ABC6500784,OK,2
1:04:41,001CB1U0000001ABC6500782,OK,1
1:04:49,001CB1U0000001ABC6500788,OK,2
1:04:54,001CB1U0000001ABC6500786,OK,1
1:05:02,001CB1U0000001ABC6500792,OK,2
1:05:07,001CB1U0000001ABC6500790,OK,1
1:05:15,001CB1U0000001ABC6500796,OK,2
1:05:21,001CB1U0000001ABC6500794,OK,1
1:05:29,001CB1U0000001ABC6500800,OK,2
1:05:34,001CB1U0000001ABC6500798,OK,1
1:05:41,001CB1U0000001ABC6500804,OK,2
1:05:47,001CB1U0000001ABC6500802,OK,1
1:05:54,001CB1U0000001ABB6510639,OK,2
1:06:00,001CB1U0000001ABB6510641,OK,1
1:06:07,001CB1U0000001ABB6512444,OK,2
1:06:13,001CB1U0000001ABC6500806,OK,1
1:06:21,001CB1U0000001ABC6500812,OK,2
